time,time_numbers,mining,manufacturing,electricity,general,inflation,export,import,gdp,population,gdp_per_capita
1996-Q3,1,88.61826923,73.4583815,79.45907007,71.28299817,28.35746798,8.933852325,9.71610792,7.90284E+12,736773936,10726.28132
1996-Q4,2,94.83848825,75.74739884,83.64112639,75.03473492,28.88260627,8.436483782,9.263697729,7.94149E+12,982365248,8084.048077
1997-Q1,3,101.5086806,82.06127168,85.88954377,77.05179768,29.04843942,8.223610923,9.844172315,8.06741E+12,986998943,8173.672455
1997-Q2,4,94.9178953,78.18901734,84.47304082,75.78104814,29.324828,8.518831938,11.01240101,8.1281E+12,991632638,8196.686826
1997-Q3,5,94.30910791,78.81849711,86.58655315,77.67708714,29.79468858,8.505859667,9.763727101,8.16142E+12,996266333,8192.001276
1997-Q4,6,102.196875,82.38554913,86.74394237,77.81828154,30.48566002,8.485608459,9.317801542,8.25877E+12,1000900028,8251.340618
1998-Q1,7,110.0846421,86.75375723,92.9720585,83.4055454,31.6741309,8.38620103,10.06772574,8.39098E+12,1005545918,8344.698983
1998-Q2,8,96.37369124,81.8132948,93.08447937,83.50639854,32.36510234,8.34883669,10.74670739,8.52776E+12,1010191807,8441.720839
1998-Q3,9,94.67967415,82.11849711,90.58873608,81.26745887,34.38273895,7.757714599,10.262857,8.63953E+12,1014837697,8513.217098
1998-Q4,10,101.6939637,85.20867052,91.46561886,82.05411335,35.93051498,8.264302491,10.66910992,8.79632E+12,1019483586,8628.210771
1999-Q1,11,105.5849092,91.35086705,98.18838682,88.08513102,34.52093324,7.814412068,9.643066321,8.91161E+12,1024127228,8701.666365
1999-Q2,12,95.76490385,87.13526012,97.24405152,87.23796466,34.65912753,7.771118112,9.756309796,9.05635E+12,1028770870,8803.079461
1999-Q3,13,96.9295406,87.78381503,100.6841301,90.32407069,35.35009897,7.609690691,9.664292424,9.29021E+12,1033414512,8989.817332
1999-Q4,14,101.5616186,91.5416185,98.5481336,88.40786106,36.09634813,8.516220318,11.57203079,9.4059E+12,1038058154,9061.054346
2000-Q1,15,108.0729968,98.40867052,104.2366296,93.51102986,35.79232069,8.175606342,11.10310956,9.56117E+12,1042687503,9169.737058
2000-Q2,16,99.20852297,92.76242775,102.1680856,91.65533211,36.48329214,7.912023887,11.20782313,9.76191E+12,1047316851,9320.875123
2000-Q3,17,99.60555823,92.95317919,102.6402532,92.0789153,36.81495843,9.08532605,10.95863859,9.77508E+12,1051946200,9292.375455
2000-Q4,18,105.7437233,96.7300578,106.0803318,95.16502133,37.17426358,9.58028275,10.94071148,9.90486E+12,1056575548,9374.494932
2001-Q1,19,109.2111645,101.9566474,105.7430692,94.86246191,36.84259729,9.830792191,11.18365649,9.90901E+12,1061181685,9337.71425
2001-Q2,20,97.69184829,95.1849711,104.4165029,93.67239488,37.47829101,9.449810245,10.42590641,9.96259E+12,1065787821,9347.625611
2001-Q3,21,100.3466907,95.28034682,106.7773412,95.79031079,38.5285676,8.970854524,10.76992284,1.01699E+13,1070393958,9501.122429
2001-Q4,22,108.9411806,99.53410405,108.3287492,97.1820841,38.94315047,9.054555566,10.96338198,1.02957E+13,1075000094,9577.42419
2002-Q1,23,112.0036458,105.3710983,110.0375464,98.7150518,38.72203961,8.839792088,9.973758347,1.05321E+13,1079579367,9755.75323
2002-Q2,24,104.3408654,99.05722543,108.306265,97.16191347,39.16426133,9.326243628,10.36724321,1.06171E+13,1084158641,9792.952655
2002-Q3,25,106.5642628,101.8612717,110.2623881,98.91675807,40.07634363,10.08372573,11.06114385,1.06833E+13,1088737914,9812.590889
2002-Q4,26,114.0285256,105.5809249,113.1628465,101.518769,40.35273221,10.7655905,11.61441067,1.07468E+13,1093317187,9829.491581
2003-Q1,27,118.3694444,112.6387283,111.6564069,100.167337,40.18689907,10.17161866,12.01366704,1.07552E+13,1097868677,9796.399772
2003-Q2,28,110.1375801,104.9514451,112.8480681,101.2363803,41.0160648,10.13230422,12.17246298,1.09973E+13,1102420167,9975.569783
2003-Q3,29,109.6346688,109.5676301,112.3309321,100.7724558,41.43064766,9.769740779,12.53897698,1.12759E+13,1106971656,10186.21568
2003-Q4,30,119.0576389,113.9739884,117.9744597,105.8352834,41.70703624,9.919656044,11.98969805,1.15726E+13,1111523146,10411.51976
2004-Q1,31,127.8982906,121.5849711,122.5837153,109.970262,41.78995281,10.8032875,13.15951906,1.19526E+13,1116048226,10709.75144
2004-Q2,32,116.4133841,117.216763,119.5258677,107.2270567,42.1216191,11.25565546,13.80058494,1.19962E+13,1120573306,10705.38191
2004-Q3,33,114.610844,124.0647399,123.1008513,110.4341865,43.17189569,10.71026235,14.05685393,1.22815E+13,1125098386,10915.8941
2004-Q4,34,124.8596474,130.0352601,122.4488103,109.8492383,43.44828427,11.05394285,14.82822933,1.25759E+13,1129623466,11132.84204
2005-Q1,35,131.2704434,138.065896,124.6522593,111.8259598,43.5588397,11.92752657,15.81234103,1.28195E+13,1134120081,11303.44722
2005-Q2,36,80.04495459,58.29042415,70.90168698,61.75045506,43.80758942,13.17857987,18.03997344,1.30439E+13,1138616695,11455.94622
2005-Q3,37,74.27470887,60.48165583,69.20892385,62.72130319,44.77494944,12.17382595,18.32759991,1.3457E+13,1143113310,11772.25359
2005-Q4,38,82.11218483,63.75239102,70.70640351,66.31757429,45.63175403,12.11106527,18.12013437,1.36443E+13,1147609924,11889.28619
2006-Q1,39,88.39857639,69.92632579,72.92344534,72.13172783,45.5211986,12.70981602,17.42429114,1.39892E+13,1152079016,12142.55005
2006-Q2,40,82.66009348,65.5184593,74.6534272,68.15242402,46.41377112,13.12241986,18.24979165,1.43397E+13,1156548108,12398.69405
2006-Q3,41,76.74691506,69.37735411,74.7650834,70.6067134,47.56136436,13.62812175,19.38081585,1.45457E+13,1161017199,12528.37487
2006-Q4,42,87.34775641,74.21346867,77.2068161,75.83867308,48.58144724,14.50777743,21.23525912,1.50261E+13,1165486291,12892.5595
2007-Q1,43,94.85172276,81.10938001,77.73385175,82.20438329,48.7089576,13.21534793,20.59988216,1.52832E+13,1169917086,13063.52509
2007-Q2,44,84.65585737,80.67697491,80.8331154,81.04590693,49.3465094,12.9856456,18.55415578,1.57102E+13,1174347881,13377.77577
2007-Q3,45,81.42399038,82.06939934,80.05244099,81.73704881,50.74912337,13.03749597,21.15954292,1.61061E+13,1178778676,13663.36393
2007-Q4,46,91.43986645,86.73365821,80.75867794,86.60803725,51.25916481,12.88820623,20.14695742,1.63951E+13,1183209471,13856.46609
2008-Q1,47,99.83583868,94.12637025,82.03468315,93.53606063,51.76920625,13.5794731,19.92706547,1.69487E+13,1187574544,14271.73194
2008-Q2,48,87.72626335,89.08159746,82.42203367,88.23650842,53.17182021,13.80030918,21.11854459,1.70514E+13,1191939617,14305.62276
2008-Q3,49,84.235,88.85128878,82.59342364,87.69178705,55.33949633,17.68770354,27.28805354,1.72294E+13,1196304689,14402.2105
2008-Q4,50,93.88030983,87.32898241,83.08783546,87.56232453,56.48708958,16.54399262,29.91738075,1.73794E+13,1200669762,14474.72892
2009-Q1,51,100.7013755,86.82862647,84.47273993,88.02676068,56.61459994,13.43489612,23.20013376,1.74007E+13,1204933876,14441.18388
2009-Q2,52,93.20799679,85.78075351,87.41669579,86.65392322,57.88970354,13.35552343,18.72956635,1.70794E+13,1209197990,14124.59458
2009-Q3,53,90.2778766,90.45495241,88.73773108,90.19309451,61.84252471,13.00539262,20.74241044,1.80707E+13,1213462103,14891.82311
2009-Q4,54,100.9210684,92.68639267,86.22247989,92.89066785,64.01020083,13.32612266,20.31241567,1.85322E+13,1217726217,15218.66465
2010-Q1,55,111.0984054,100.1866908,90.46609094,100.3714308,65.28530443,13.44500215,22.25419301,1.89263E+13,1221864954,15489.67883
2010-Q2,56,100.6563782,94.66913774,92.13097678,94.99242477,65.79534587,13.26461041,22.25360209,1.94184E+13,1226003690,15838.78861
2010-Q3,57,95.98194979,97.16878613,90.63370443,96.35508836,68.21804272,14.54151847,22.91144414,1.9885E+13,1230142427,16164.75683
2010-Q4,58,107.2842201,101.1936416,91.82536564,100.8934796,69.8756774,13.41395909,21.26804632,2.04727E+13,1234281163,16586.77887
2011-Q1,59,112.2709829,109.1289017,97.82864003,108.3162706,71.150781,15.21140227,20.97451495,2.09479E+13,1238282857,16916.92227
2011-Q2,60,101.3154567,101.9757225,99.7397948,101.6196222,71.66082244,16.29261528,22.96203616,2.13314E+13,1242284551,17171.11932
2011-Q3,61,92.08571047,100.4306358,100.1894783,99.42102377,74.46605037,16.57463313,26.08711275,2.15899E+13,1246286245,17323.36978
2011-Q4,62,102.7527244,102.3,100.6166776,102.0835466,75.74115397,16.68441143,25.58387354,2.1589E+13,1250287939,17267.25972
2012-Q1,63,111.8580662,109.5104046,102.2580223,109.0020719,76.25119541,17.08484979,27.48895183,2.19407E+13,1254161015,17494.33208
2012-Q2,64,98.43333333,102.5666667,105.6,102.2,78.92891297,16.63380622,28.17645392,2.22437E+13,1258034091,17681.28776
